Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Anna,Henriksson,Skogsgatan 69,Mölndal,18186,Sverige,SE,19770509-7293,+46,0247-39 63 49,1977-05-09,True
Bo,Svensson,Järnvägsgatan 565,Eskilstuna,59981,Sverige,SE,19410606-2358,+46,+46 (0)8 821 547 02,1941-06-06,True
Linda,Larsson,Kyrkvägen 4,Skövde,72588,Sverige,SE,19450202-9572,+46,070-398 34 57,1945-02-02,True
Stine,Nielsen,Kristiansentoppen 4H,Eliassen,1112,Norge,NO,19420328-0742,+47,27 74 17 31,1942-03-28,True
Erika,Holmström,Villagränd 2,Östersund,50172,Sverige,SE,19811103-7960,+46,0925-046 50,1981-11-03,True
Maj,Holmqvist,Industrigatan 3,Motala,22544,Sverige,SE,19460224-4226,+46,08-924 723 65,1946-02-24,True
Jan,Jonsson,Stationsgatan 4,Borlänge,57921,Sverige,SE,19510717-0169,+46,+46 (0)8 379 677 39,1951-07-17,True
Laurie,Gay,Amanda Estates 651,South Tiffanystad,64153,Danmark,DK,19980520-2409,+45,225-453-1145x770,1998-05-20,False
Tellervo,Hokkanen,Laakavuorenkatu 463,Sievi,31326,Finland,FI,19950829-4777,+358,039 074 2422,1995-08-29,True
Joseph,Oconnor,Ashley Estates 7207,South Sara,05283,Danmark,DK,19500111-5693,+45,771.890.7901x13963,1950-01-11,True
Christopher,Hayes,David Points 2008,West Harry,40759,Danmark,DK,19600817-8395,+45,001-301-960-7685x04046,1960-08-17,True
Maria,Kuosmanen,Caloniuksenbulevardi 053,Tohmajärvi,22524,Finland,FI,19450409-006W,+358,(+358) 420639343,1945-04-09,True
Mona,Axelsson,Kyrkotorget 713,Borlänge,90067,Sverige,SE,19910324-0815,+46,054-301 27 34,1991-03-24,True
Miranda,Davis,Natalie Crest 5423,South Melissa,01676,Danmark,DK,19560118-3055,+45,495-363-1549x2128,1956-01-18,True
Meredith,Lewis,Robert Ridges 867,West Christyhaven,75302,Danmark,DK,19851213-5930,+45,001-321-989-1527x87113,1985-12-13,True
Elisabeth,Jansson,Bäckgatan 3,Stockholm,55335,Sverige,SE,19600603-7757,+46,086-31 10 59,1960-06-03,True
Helene,Ødegård,Nielsenspranget 56A,Nguyen,4181,Norge,NO,19400908-7331,+47,33 89 91 95,1940-09-08,True
Leif,Kristoffersen,Gulbrandsenhavna 31,Fredriksen,8265,Norge,NO,19921124-4574,+358,92464886,1992-11-24,True
Olof,Larsson,Skolvägen 378,Alingsås,64285,Sverige,SE,19570114-6060,+46,0584-89 75 73,1957-01-14,True
Rolf,Borg,Parkvägen 314,Lidköping,84914,Sverige,SE,19841003-2216,+46,+46 (0)8 163 391 93,1984-10-03,True
Helena,Olsson,Trädgårdstorget 9,Piteå,61087,Sverige,SE,19880602-8113,+46,0355-43 37 29,1988-06-02,True
Ivar,Sivertsen,Rasmussenrøa 694,Håkonstrøm,2713,Norge,NO,19910218-9410,+47,+47 03 78 40 94,1991-02-18,True
Mikael,Hedström,Kyrkovägen 1,Ängelholm,95476,Sverige,SE,19990421-7227,+46,08-082 808 78,1999-04-21,True
Astrid,Olsson,Nygränd 49,Östersund,44910,Sverige,SE,19840727-0097,+46,+46 (0)42 29 73 67,1984-07-27,True
Lena,Bengtsson,Villatorget 47,Västerås,36187,Sverige,SE,19621113-1593,+46,08-305 15 43,1962-11-13,True
Anna,Arvidsson,Åkergränd 9,Halmstad,98747,Sverige,SE,19680504-6285,+46,0197-187 61,1968-05-04,True
Tapio,Hautala,Jälsikatu 95,Kirkkonummi,32102,Finland,FI,19460820-894P,+358,0552172864,1946-08-20,True
Karoline,Nilsen,Haugeholtet 3C,Torilleid,8218,Norge,NO,19580721-6716,+47,+47 69 79 24 95,1958-07-21,True
Kristin,Svendsen,Karlsenhaugen 1F,Amundsen,5429,Norge,NO,19510317-1357,+47,90 46 80 84,1951-03-17,True
Tommy,Aune,Eidevollen 49B,Annaeid,0002,Norge,NO,19800908-8339,+47,68648574,1980-09-08,True
Nils,Berg,Andreassengata 32,Lailavær,6957,Norge,NO,19470520-5109,+47,900 05 164,1947-05-20,True
Grete,Danielsen,Eidegjerdet 9,Mariushavn,3407,Norge,NO,19501216-7774,+47,57719546,1950-12-16,True
Sigvard,Blom,Storgatan 57,Karlskrona,63453,Sverige,SE,19790107-6580,+46,08-978 67 13,1979-01-07,True
Georg,Larsson,Industrigränd 8,Lidingö,90263,Sverige,SE,19740720-5956,+46,08-28 30 49,1974-07-20,True
Ashley,Rogers,Combs Camp 972,Port Davidbury,38741,Danmark,DK,19970421-3803,+45,(539)956-6151x7925,1997-04-21,True
Ann,Johansson,Skogstorget 390,Luleå,36790,Sverige,SE,19581205-4650,+46,+46 (0)96 81 27 87,1958-12-05,True
John,Fredriksson,Järnvägsvägen 96,Norrköping,94727,Sverige,SE,19990624-1232,+46,+46 (0)746 006 86,1999-06-24,True
Sven,Eriksson,Skogsstigen 8,Linköping,65372,Sverige,SE,19680326-8084,+46,044-21 95 47,1968-03-26,True
Timothy,Mcintosh,Patterson Streets 5785,West Daniel,82835,Danmark,DK,19421016-5480,+45,6432613401,1942-10-16,True
Viktoria,Bengtsson,Kvarnstigen 78,Malmö,86080,Sverige,SE,19520905-3612,+46,08-600 477 88,1952-09-05,True
Inger,Lindgren,Kyrkvägen 4,Göteborg,31463,Sverige,SE,19480220-1676,+46,0148-76 20 79,1948-02-20,True
Monica,Mårtensson,Trädgårdsgatan 3,Borlänge,64365,Sverige,SE,19400812-3155,+46,028-051 52 21,1940-08-12,True
Elisabet,Andersson,Idrottsgatan 0,Karlstad,35381,Sverige,SE,19990226-4231,+46,015-512 27 36,1999-02-26,True
Eva,Olsson,Trädgårdsgränd 1,Kristianstad,18420,Sverige,SE,19610422-8503,+46,0329-005 59,1961-04-22,True
Lars,Magnusson,Idrottsgatan 9,Umeå,67160,Sverige,SE,19420122-1276,+46,08-049 132 68,1942-01-22,True
Adam,Norberg,Trädgårdsgränd 643,Falun,51801,Sverige,SE,19900823-7018,+46,+46 (0)8 387 425 72,1990-08-23,True
Marie,Lien,Andreassenstubben 25C,Sandvik,0093,Norge,NO,19710716-5537,+47,65 60 43 40,1971-07-16,True
April,Jackson,David Field 85980,New Michellemouth,83368,Danmark,DK,19431126-5296,+45,405-259-9861x41675,1943-11-26,True
John,Axelsson,Ekvägen 6,Lund,10835,Sverige,SE,19411030-6262,+46,0076-74 08 29,1941-10-30,True
Irene,Olsson,Backgränd 383,Skellefteå,39101,Sverige,SE,19750609-3855,+46,0531-84 23 40,1975-06-09,True
Astrid,Andersson,Ängsvägen 83,Jönköping,51316,Sverige,SE,19660810-3134,+46,08-05 99 58,1966-08-10,True
Tommy,Haug,Tangenskrenten 9,Madsen,8206,Norge,NO,19551218-6111,+47,407 46 161,1955-12-18,True
